normalization,endpoint,exposed,records,row_rate,context_bootstrap_low,context_bootstrap_high
casefold,record,0,163,0.0,0.0,0.0
casefold,context,123,163,0.754601226993865,0.6871165644171779,0.8220858895705522
casefold,response,114,163,0.6993865030674846,0.6257668711656442,0.7668711656441718
casefold,feedback,108,163,0.6625766871165644,0.588957055214724,0.7361963190184049
casefold,edit_link,103,163,0.6319018404907976,0.558282208588957,0.7055214723926381
primary,record,0,163,0.0,0.0,0.0
primary,context,123,163,0.754601226993865,0.6871165644171779,0.8220858895705522
primary,response,114,163,0.6993865030674846,0.6257668711656442,0.7668711656441718
primary,feedback,108,163,0.6625766871165644,0.588957055214724,0.7361963190184049
primary,edit_link,103,163,0.6319018404907976,0.558282208588957,0.7055214723926381
punctuation,record,0,163,0.0,0.0,0.0
punctuation,context,123,163,0.754601226993865,0.6871165644171779,0.8159509202453987
punctuation,response,114,163,0.6993865030674846,0.6257668711656442,0.7668711656441718
punctuation,feedback,108,163,0.6625766871165644,0.588957055214724,0.7361963190184049
punctuation,edit_link,103,163,0.6319018404907976,0.558282208588957,0.7055214723926381
raw,record,0,163,0.0,0.0,0.0
raw,context,123,163,0.754601226993865,0.6871165644171779,0.8159509202453987
raw,response,113,163,0.6932515337423313,0.6196319018404908,0.7607361963190185
raw,feedback,108,163,0.6625766871165644,0.588957055214724,0.7361963190184049
raw,edit_link,103,163,0.6319018404907976,0.558282208588957,0.7055214723926381
