model,seed,boundary,fraction,evaluation_set,n,accuracy,margin_mean,margin_std,positive_margin_rate
word_tfidf_bt,20260727,naive,0.2,target,512,0.505859375,-0.11907220672196596,0.060075688915082415,0.037109375
word_tfidf_bt,20260727,naive,0.2,clean_validation,512,0.470703125,-0.11882840686402643,0.05032413722429368,0.015625
word_tfidf_bt,20260727,naive,0.2,untouched_clean_test,512,0.501953125,-0.12184065746813678,0.05304709375415977,0.013671875
word_tfidf_bt,20260727,naive,0.2,external,372,0.4838709677419355,-0.10970488283297222,0.06750064197610726,0.043010752688172046
word_tfidf_bt,20260727,naive,0.4,target,512,0.552734375,-0.07710233902303615,0.08703586555658367,0.138671875
word_tfidf_bt,20260727,naive,0.4,clean_validation,512,0.462890625,-0.07426559676259226,0.07345866628358931,0.125
word_tfidf_bt,20260727,naive,0.4,untouched_clean_test,512,0.5,-0.07982178055938743,0.0776694970436435,0.1328125
word_tfidf_bt,20260727,naive,0.4,external,372,0.5403225806451613,-0.06517599736212842,0.09523432399054524,0.22311827956989247
word_tfidf_bt,20260727,naive,0.6,target,512,0.568359375,-0.08064204406169781,0.1123149567764013,0.169921875
word_tfidf_bt,20260727,naive,0.6,clean_validation,512,0.48046875,-0.07681504111461981,0.09307870268384666,0.154296875
word_tfidf_bt,20260727,naive,0.6,untouched_clean_test,512,0.484375,-0.08007099809563664,0.09524624840101692,0.16015625
word_tfidf_bt,20260727,naive,0.6,external,372,0.5295698924731183,-0.06579625027078609,0.11916504542270591,0.260752688172043
word_tfidf_bt,20260727,naive,0.8,target,512,0.611328125,-0.06471051453556256,0.12699847966553382,0.232421875
word_tfidf_bt,20260727,naive,0.8,clean_validation,512,0.478515625,-0.05973081037587051,0.10755933836015646,0.23046875
word_tfidf_bt,20260727,naive,0.8,untouched_clean_test,512,0.482421875,-0.06259463690319192,0.11176419964164701,0.240234375
word_tfidf_bt,20260727,naive,0.8,external,372,0.532258064516129,-0.0463212299228965,0.13353033008853693,0.3225806451612903
word_tfidf_bt,20260727,naive,1.0,target,512,0.64453125,-0.034721456878149315,0.1449394672809974,0.35546875
word_tfidf_bt,20260727,naive,1.0,clean_validation,512,0.505859375,-0.028114634992662584,0.1234649824794645,0.34375
word_tfidf_bt,20260727,naive,1.0,untouched_clean_test,512,0.474609375,-0.032145538529151724,0.12802167528257608,0.337890625
word_tfidf_bt,20260727,naive,1.0,external,372,0.5376344086021505,-0.016570733367666242,0.15206227291922142,0.43548387096774194
word_tfidf_bt,20260727,safe,0.2,target,512,0.5,-0.10768754509475023,0.04948043389540011,0.0234375
word_tfidf_bt,20260727,safe,0.2,clean_validation,512,0.474609375,-0.1056013007028388,0.047563974820369205,0.015625
word_tfidf_bt,20260727,safe,0.2,untouched_clean_test,512,0.501953125,-0.10985393612311709,0.05028623200860854,0.021484375
word_tfidf_bt,20260727,safe,0.2,external,372,0.5053763440860215,-0.09781851469487848,0.06166535212224074,0.04838709677419355
word_tfidf_bt,20260727,safe,0.4,target,512,0.51953125,-0.07624373711076884,0.0700791863875366,0.10546875
word_tfidf_bt,20260727,safe,0.4,clean_validation,512,0.46875,-0.07281291639136131,0.06940968559438414,0.119140625
word_tfidf_bt,20260727,safe,0.4,untouched_clean_test,512,0.4921875,-0.0785495739471077,0.07159630370640496,0.12109375
word_tfidf_bt,20260727,safe,0.4,external,372,0.5483870967741935,-0.06362609052651956,0.09011594630404562,0.20430107526881722
word_tfidf_bt,20260727,safe,0.6,target,512,0.51953125,-0.0757624859643117,0.08857317877698087,0.14453125
word_tfidf_bt,20260727,safe,0.6,clean_validation,512,0.478515625,-0.07245113339541713,0.08899761473157615,0.1640625
word_tfidf_bt,20260727,safe,0.6,untouched_clean_test,512,0.484375,-0.07633329340281259,0.08944837900261865,0.15625
word_tfidf_bt,20260727,safe,0.6,external,372,0.5403225806451613,-0.06180351854060544,0.11451890585551826,0.2661290322580645
word_tfidf_bt,20260727,safe,0.8,target,512,0.53125,-0.051504811385835056,0.10130598330817818,0.2421875
word_tfidf_bt,20260727,safe,0.8,clean_validation,512,0.48828125,-0.0483489829539957,0.10468889581785881,0.267578125
word_tfidf_bt,20260727,safe,0.8,untouched_clean_test,512,0.46875,-0.05089730977569926,0.10535087493193895,0.26171875
word_tfidf_bt,20260727,safe,0.8,external,372,0.5376344086021505,-0.03492199887434729,0.1308496397081054,0.3709677419354839
word_tfidf_bt,20260727,safe,1.0,target,512,0.498046875,-0.02909469341165656,0.1187184996275801,0.349609375
word_tfidf_bt,20260727,safe,1.0,clean_validation,512,0.501953125,-0.024951146949920965,0.1225765667882931,0.37109375
word_tfidf_bt,20260727,safe,1.0,untouched_clean_test,512,0.458984375,-0.028431149550363195,0.12535727031796126,0.349609375
word_tfidf_bt,20260727,safe,1.0,external,372,0.5564516129032258,-0.011772815942513719,0.15378153248502904,0.4596774193548387
word_tfidf_bt,20260728,naive,0.2,target,512,0.5625,0.013498627309879923,0.06080289307254662,0.625
word_tfidf_bt,20260728,naive,0.2,clean_validation,512,0.53125,0.015393978331230077,0.047520521033191813,0.669921875
word_tfidf_bt,20260728,naive,0.2,untouched_clean_test,512,0.501953125,0.014363180863421761,0.04882124220707245,0.603515625
