model,fraction,evaluation_set,naive_minus_safe,ci_low,ci_high,two_sided_bootstrap_p
word_tfidf_bt,0.2,target,0.032552083333333336,0.0026041666666666665,0.06966145833333333,0.0309
word_tfidf_bt,0.2,clean_validation,-0.001953125,-0.024739583333333332,0.01953125,0.8787
word_tfidf_bt,0.2,untouched_clean_test,0.0078125,-0.009765625,0.029947916666666668,0.4386
word_tfidf_bt,0.2,external,-0.0035842293906810036,-0.02956989247311828,0.027777777777777776,0.7742
word_tfidf_bt,0.4,target,0.039713541666666664,0.013020833333333334,0.07486979166666667,0.0016
word_tfidf_bt,0.4,clean_validation,0.008463541666666666,-0.016927083333333332,0.041015625,0.6013
word_tfidf_bt,0.4,untouched_clean_test,0.010416666666666666,-0.005208333333333333,0.026041666666666668,0.1854
word_tfidf_bt,0.4,external,0.0008960573476702509,-0.025985663082437275,0.03046594982078853,1.0
word_tfidf_bt,0.6,target,0.06315104166666667,0.03383789062500001,0.099609375,0.0
word_tfidf_bt,0.6,clean_validation,-0.0013020833333333333,-0.01953125,0.015625,0.9378
word_tfidf_bt,0.6,untouched_clean_test,0.0032552083333333335,-0.01171875,0.01953125,0.7176
word_tfidf_bt,0.6,external,-0.0017921146953405018,-0.024193548387096777,0.02150537634408602,0.9118
word_tfidf_bt,0.8,target,0.09765625,0.06770833333333333,0.12890625,0.0
word_tfidf_bt,0.8,clean_validation,-0.0032552083333333335,-0.022135416666666668,0.015625,0.7439
word_tfidf_bt,0.8,untouched_clean_test,0.013020833333333334,-0.009765625,0.035807291666666664,0.2655
word_tfidf_bt,0.8,external,0.004480286738351254,-0.02060931899641577,0.02956989247311828,0.7266
word_tfidf_bt,1.0,target,0.146484375,0.115234375,0.1796875,0.0
word_tfidf_bt,1.0,clean_validation,0.00390625,-0.021484375,0.029296875,0.8124
word_tfidf_bt,1.0,untouched_clean_test,0.015625,-0.005859375,0.037109375,0.1921
word_tfidf_bt,1.0,external,-0.01881720430107527,-0.04301075268817204,0.0026881720430107525,0.1329
minilm_frozen_bt,0.2,target,0.0032552083333333335,-0.022135416666666668,0.028645833333333332,0.8005
minilm_frozen_bt,0.2,clean_validation,-0.00390625,-0.025390625,0.018229166666666668,0.7144
minilm_frozen_bt,0.2,untouched_clean_test,0.004557291666666667,-0.014973958333333334,0.025390625,0.6879
minilm_frozen_bt,0.2,external,0.023297491039426525,-0.00985663082437276,0.05555555555555555,0.1597
minilm_frozen_bt,0.4,target,0.010416666666666666,-0.015625,0.0390625,0.455
minilm_frozen_bt,0.4,clean_validation,0.0013020833333333333,-0.018229166666666668,0.022135416666666668,0.9375
minilm_frozen_bt,0.4,untouched_clean_test,0.005859375,-0.018229166666666668,0.03125,0.6433
minilm_frozen_bt,0.4,external,0.017921146953405017,-0.008064516129032258,0.04659498207885304,0.1867
minilm_frozen_bt,0.6,target,0.004557291666666667,-0.013671875,0.022786458333333332,0.6588
minilm_frozen_bt,0.6,clean_validation,-0.009765625,-0.037109375,0.016927083333333332,0.4777
minilm_frozen_bt,0.6,untouched_clean_test,0.016276041666666668,-0.00390625,0.035807291666666664,0.1103
minilm_frozen_bt,0.6,external,0.017025089605734768,-0.009856630824372761,0.04301075268817204,0.2126
minilm_frozen_bt,0.8,target,0.0032552083333333335,-0.015625,0.022786458333333332,0.7753
minilm_frozen_bt,0.8,clean_validation,-0.016276041666666668,-0.0390625,0.007161458333333333,0.1797
minilm_frozen_bt,0.8,untouched_clean_test,0.0,-0.020833333333333332,0.01953125,0.9992
minilm_frozen_bt,0.8,external,0.0008960573476702509,-0.022401433691756272,0.024193548387096777,0.9868
minilm_frozen_bt,1.0,target,-0.005859375,-0.02734375,0.015625,0.6603
minilm_frozen_bt,1.0,clean_validation,-0.021484375,-0.044921875,0.001953125,0.0797
minilm_frozen_bt,1.0,untouched_clean_test,0.017578125,-0.00390625,0.041015625,0.1441
minilm_frozen_bt,1.0,external,-0.008064516129032258,-0.03225806451612903,0.013440860215053764,0.5613
