model,fraction,did,ci_low,ci_high,two_sided_bootstrap_p,seed_20260727,seed_20260728,seed_20260729
word_tfidf_bt,0.2,0.034505208333333336,-0.0032552083333333335,0.08528645833333333,0.0918,0.009765625,0.08203125,0.01171875
word_tfidf_bt,0.4,0.03125,0.0078125,0.056640625,0.0129,0.0390625,0.0234375,0.03125
word_tfidf_bt,0.6,0.064453125,0.028645833333333332,0.11067708333333333,0.0,0.046875,0.04296875,0.103515625
word_tfidf_bt,0.8,0.10091145833333333,0.06770833333333333,0.13671875,0.0,0.08984375,0.08984375,0.123046875
word_tfidf_bt,1.0,0.142578125,0.1015625,0.18359375,0.0,0.142578125,0.142578125,0.142578125
minilm_frozen_bt,0.2,0.007161458333333333,-0.021484375,0.03515625,0.6102,0.009765625,0.009765625,0.001953125
minilm_frozen_bt,0.4,0.009114583333333334,-0.022135416666666668,0.042317708333333336,0.5778,0.017578125,-0.013671875,0.0234375
minilm_frozen_bt,0.6,0.014322916666666666,-0.01953125,0.050130208333333336,0.407,0.041015625,-0.001953125,0.00390625
minilm_frozen_bt,0.8,0.01953125,-0.01171875,0.051432291666666664,0.2248,0.03515625,0.0,0.0234375
minilm_frozen_bt,1.0,0.015625,-0.015625,0.046875,0.3643,0.015625,0.015625,0.015625
