seed,candidate,candidate_name,target_accuracy,clean_validation_accuracy
20260727,1,word_1_C1,0.63671875,0.494140625
20260727,2,word_1_2_C1,0.623046875,0.515625
20260727,3,word_1_2_C0.1,0.53515625,0.458984375
20260727,4,char_3_5_C1,0.5625,0.529296875
20260727,5,char_3_5_C0.1,0.533203125,0.5234375
20260727,6,union_word_1_2_char_3_5_C0.1,0.5625,0.5234375
20260728,1,word_1_C1,0.63671875,0.494140625
20260728,2,word_1_2_C1,0.623046875,0.515625
20260728,3,word_1_2_C0.1,0.53515625,0.458984375
20260728,4,char_3_5_C1,0.5625,0.529296875
20260728,5,char_3_5_C0.1,0.533203125,0.5234375
20260728,6,union_word_1_2_char_3_5_C0.1,0.5625,0.5234375
20260729,1,word_1_C1,0.63671875,0.494140625
20260729,2,word_1_2_C1,0.623046875,0.515625
20260729,3,word_1_2_C0.1,0.53515625,0.458984375
20260729,4,char_3_5_C1,0.5625,0.529296875
20260729,5,char_3_5_C0.1,0.533203125,0.5234375
20260729,6,union_word_1_2_char_3_5_C0.1,0.5625,0.5234375
