evaluation_view,atom_type,validation_rows,same_view_exposed_rows,same_view_exposure_rate,any_view_exposed_rows,any_view_exposure_rate,cross_view_only_rows,cross_view_only_rate
edit,context,721,447,0.6199722607489597,603,0.8363384188626907,156,0.21636615811373092
edit,edit_link,721,427,0.5922330097087378,491,0.680998613037448,64,0.08876560332871013
edit,feedback,721,434,0.6019417475728155,584,0.8099861303744799,150,0.20804438280166435
edit,principle,721,0,0.0,0,0.0,0,0.0
edit,record,721,427,0.5922330097087378,427,0.5922330097087378,0,0.0
edit,response,721,428,0.5936199722607489,593,0.8224687933425797,165,0.2288488210818308
edit_quality,context,163,13,0.07975460122699386,123,0.754601226993865,110,0.6748466257668712
edit_quality,edit_link,163,0,0.0,103,0.6319018404907976,103,0.6319018404907976
edit_quality,feedback,163,0,0.0,108,0.6625766871165644,108,0.6625766871165644
edit_quality,principle,163,0,0.0,0,0.0,0,0.0
edit_quality,record,163,0,0.0,0,0.0,0,0.0
edit_quality,response,163,1,0.006134969325153374,114,0.6993865030674846,113,0.6932515337423313
feedback,context,2039,1270,0.622854340362923,1379,0.67631191760667,109,0.05345757724374693
feedback,edit_link,2039,0,0.0,0,0.0,0,0.0
feedback,feedback,2039,1231,0.603727317312408,1324,0.6493379107405591,93,0.045610593428151054
feedback,principle,2039,0,0.0,0,0.0,0,0.0
feedback,record,2039,1214,0.5953898970083374,1214,0.5953898970083374,0,0.0
feedback,response,2039,1231,0.603727317312408,1344,0.6591466405100539,113,0.055419323197645906
preference,context,2017,1254,0.6217154189390184,1362,0.6752602875557759,108,0.053544868616757564
preference,edit_link,2017,0,0.0,0,0.0,0,0.0
preference,feedback,2017,0,0.0,0,0.0,0,0.0
preference,principle,2017,0,0.0,0,0.0,0,0.0
preference,record,2017,1201,0.5954387704511651,1201,0.5954387704511651,0,0.0
preference,response,2017,1218,0.6038671294000991,1329,0.6588993554784334,111,0.05503222607833416
principle,context,1024,621,0.6064453125,728,0.7109375,107,0.1044921875
principle,edit_link,1024,0,0.0,0,0.0,0,0.0
principle,feedback,1024,0,0.0,0,0.0,0,0.0
principle,principle,1024,1001,0.9775390625,1001,0.9775390625,0,0.0
principle,record,1024,498,0.486328125,498,0.486328125,0,0.0
principle,response,1024,551,0.5380859375,695,0.6787109375,144,0.140625
